id;codigo;nombre;provincia_id
244;11303; Tortel;113
245;11401; Chile Chico;114
246;11402; Río Ibáñez;114
247;12101; Punta Arenas;121
248;12102; Laguna Blanca;121
249;12103; Río Verde;121
250;12104; San Gregorio;121
251;12201; Cabo de Hornos;122
252;12202; Antártica;122
253;12301; Porvenir;123
254;12302; Primavera;123
255;12303; Timaukel;123
256;12401; Natales;124
257;12402; Torres del Paine;124
258;13101; Santiago;131
259;13102; Cerrillos;131
260;13103; Cerro Navia;131
261;13104; Conchalí;131
262;13105; El Bosque;131
263;13106; Estación Central;131
264;13107; Huechuraba;131
265;13108; Independencia;131
266;13109; La Cisterna;131
267;13110; La Florida;131
268;13111; La Granja;131
269;13112; La Pintana;131
270;13113; La Reina;131
271;13114; Las Condes;131
272;13115; Lo Barnechea;131
273;13116; Lo Espejo;131
274;13117; Lo Prado;131
275;13118; Macul;131
276;13119; Maipú;131
277;13120; Ñuñoa;131
278;13121; Pedro Aguirre Cerda;131
279;13122; Peñalolén;131
280;13123; Providencia;131
281;13124; Pudahuel;131
282;13125; Quilicura;131
283;13126; Quinta Normal;131
284;13127; Recoleta;131
285;13128; Renca;131
286;13129; San Joaquín;131
287;13130; San Miguel;131
288;13131; San Ramón;131
289;13132; Vitacura;131
290;13201; Puente Alto;132
291;13202; Pirque;132
292;13203; San José de Maipo;132
293;13301; Colina;133
294;13302; Lampa;133
295;13303; Tiltil;133
296;13401; San Bernardo;134
297;13402; Buin;134
298;13403; Calera de Tango;134
299;13404; Paine;134
300;13501; Melipilla;135
301;13502; Alhué;135
302;13503; Curacaví135
303;13504; María Pinto;135
304;13505; San Pedro;135
305;13601; Talagante;136
306;13602; El Monte;136
307;13603; Isla de Maipo;136
308;13604; Padre Hurtado;136
309;13605; Peñaflor;136
310;14101; Valdivia;141
311;14102; Corral;141
312;14103; Lanco;141
313;14104; Los Lagos;141
314;14105; Máfil;141
315;14106; Mariquina;141
316;14107; Paillaco;141
317;14108; Panguipulli;141
318;14201; La Unión;142
319;14202; Futrono;142
320;14203; Lago Ranco;142
321;14204; R���;142
322;15101; Arica;151
323;15102; Camarones;151
324;15201; Putre;152
325;15202; General Lagos;152
326;8401; Chill�;163
327;8402; Bulnes;163
328;8403; Cobquecura;162
329;8404; Coelemu;162
330;8405; Coihueco;163
331;8406; Chillán163
332;8407; El Carmen;163
333;8408; Ninhue;162
334;8409; Ñiquén;161
335;8410; Pemuco;163
336;8411; Pinto;163
337;8412; Portezuelo;162
338;8413; Quill�;162
339;8414; Quirihue;162
340;8415; Ránquil;162
341;8416; San Carlos;161
342;8417; San Fabi�;161
343;8418; San Ignacio;163
344;8419; San Nicol�;161
345;8420; Treguaco;162
346;8421; Yungay;163
